Universidade	ODS	Indicador	Ano	Valor	Overall	Percentil_ranking_metrica
Universidade Federal Fluminense	ODS 9	Scholarly Output (THE) Median	2020	14	67	
Universidade Federal Fluminense	ODS 9	Scholarly Output (THE) Median	2021	16	67	
Universidade Federal Fluminense	ODS 9	Scholarly Output (THE) Median	2022	18	67	
Universidade Federal Fluminense	ODS 9	Scholarly Output (THE) Median	2023	22	67	
Universidade Federal Fluminense	ODS 10	Field-Weighted Citation Impact - 5 Year (THE)	2019	0.96	0.96	52nd
Universidade Federal Fluminense	ODS 10	Field-Weighted Citation Impact - 5 Year (THE)	2020	0.62	0.96	52nd
Universidade Federal Fluminense	ODS 10	Field-Weighted Citation Impact - 5 Year (THE)	2021	0.9	0.96	52nd
Universidade Federal Fluminense	ODS 10	Field-Weighted Citation Impact - 5 Year (THE)	2022	0.54	0.96	52nd
Universidade Federal Fluminense	ODS 10	Field-Weighted Citation Impact - 5 Year (THE)	2023	1.67	0.96	52nd
Universidade Federal Fluminense	ODS 10	Field-Weighted Citation Impact - 5 Year (THE) Median	2019	0.87	1.07	
Universidade Federal Fluminense	ODS 10	Field-Weighted Citation Impact - 5 Year (THE) Median	2020	0.97	1.07	
Universidade Federal Fluminense	ODS 10	Field-Weighted Citation Impact - 5 Year (THE) Median	2021	1.03	1.07	
Universidade Federal Fluminense	ODS 10	Field-Weighted Citation Impact - 5 Year (THE) Median	2022	1.07	1.07	
Universidade Federal Fluminense	ODS 10	Field-Weighted Citation Impact - 5 Year (THE) Median	2023	1.04	1.07	
Universidade Federal Fluminense	ODS 10	Output in Top 10% Journals (THE)	2019	3	26	86th
Universidade Federal Fluminense	ODS 10	Output in Top 10% Journals (THE)	2020	5	26	86th
Universidade Federal Fluminense	ODS 10	Output in Top 10% Journals (THE)	2021	6	26	86th
Universidade Federal Fluminense	ODS 10	Output in Top 10% Journals (THE)	2022	5	26	86th
Universidade Federal Fluminense	ODS 10	Output in Top 10% Journals (THE)	2023	7	26	86th
Universidade Federal Fluminense	ODS 10	Output in Top 10% Journals (THE) Median	2019	1	3	
Universidade Federal Fluminense	ODS 10	Output in Top 10% Journals (THE) Median	2020	1	3	
Universidade Federal Fluminense	ODS 10	Output in Top 10% Journals (THE) Median	2021	1	3	
Universidade Federal Fluminense	ODS 10	Output in Top 10% Journals (THE) Median	2022	1	3	
Universidade Federal Fluminense	ODS 10	Output in Top 10% Journals (THE) Median	2023	1	3	
Universidade Federal Fluminense	ODS 10	Scholarly Output (THE)	2019	24	199	91st
Universidade Federal Fluminense	ODS 10	Scholarly Output (THE)	2020	38	199	91st
Universidade Federal Fluminense	ODS 10	Scholarly Output (THE)	2021	49	199	91st
Universidade Federal Fluminense	ODS 10	Scholarly Output (THE)	2022	42	199	91st
Universidade Federal Fluminense	ODS 10	Scholarly Output (THE)	2023	46	199	91st
Universidade Federal Fluminense	ODS 10	Scholarly Output (THE) Median	2019	5	20	
Universidade Federal Fluminense	ODS 10	Scholarly Output (THE) Median	2020	6	20	
Universidade Federal Fluminense	ODS 10	Scholarly Output (THE) Median	2021	6	20	
Universidade Federal Fluminense	ODS 10	Scholarly Output (THE) Median	2022	7	20	
Universidade Federal Fluminense	ODS 10	Scholarly Output (THE) Median	2023	7	20	
Universidade Federal Fluminense	ODS 11	Field-Weighted Citation Impact - 5 Year (THE)	2019	1.05	0.94	42nd
Universidade Federal Fluminense	ODS 11	Field-Weighted Citation Impact - 5 Year (THE)	2020	1.13	0.94	42nd
Universidade Federal Fluminense	ODS 11	Field-Weighted Citation Impact - 5 Year (THE)	2021	0.95	0.94	42nd
Universidade Federal Fluminense	ODS 11	Field-Weighted Citation Impact - 5 Year (THE)	2022	0.95	0.94	42nd
Universidade Federal Fluminense	ODS 11	Field-Weighted Citation Impact - 5 Year (THE)	2023	0.59	0.94	42nd
Universidade Federal Fluminense	ODS 11	Field-Weighted Citation Impact - 5 Year (THE) Median	2019	1.05	1.15	
Universidade Federal Fluminense	ODS 11	Field-Weighted Citation Impact - 5 Year (THE) Median	2020	1.1	1.15	
Universidade Federal Fluminense	ODS 11	Field-Weighted Citation Impact - 5 Year (THE) Median	2021	1.11	1.15	
